OrderID,CustomerID,RestaurantID,OrderDate,Age,Gender,City,Rating,OrderItemID,ItemName,ItemPrice,PaymentID,Amount,DeliveryID,DeliveryTime,DeliveryStatus,ItemsPerOrder,Cuisine,PaymentMode
1,1000,6,16-06-2024,59,Female,Pune,4.2,11027,"Paneer Tikka, Dosa, Roll, Idli","""220,60,110,50""",1001,718,100,50,On Time,2,Italian,UPI
2,1000,30,05-07-2024,59,Female,Bangalore,4.2,18359,"Idli, Dosa, Sandwich, Paneer Tikka","""50,60,80,220""",1002,340,101,31,On Time,2,South Indian,Card
3,1000,16,03-12-2024,59,Female,Bangalore,2.4,13283,"Idli, Fried Rice, Biryani","""50,170,200""",1003,363,102,9,Cancelled,4,Fast Food,UPI
4,2462,24,21-01-2024,29,Female,Ahmedabad,2.0,18492,"Biryani, Dosa, Pizza, Burger","""200,60,250,120""",1004,583,103,13,Cancelled,4,South Indian,Card
5,1000,29,08-10-2024,59,Female,Chennai,4.0,19415,"Sandwich, Idli, Pasta, Dosa","""80,50,180,60""",1005,513,104,38,On Time,3,Chinese,UPI
6,1000,49,30-10-2024,59,Female,Delhi,4.2,19075,Paratha,"""70""",1006,139,105,20,On Time,4,South Indian,Card
7,3715,19,18-12-2024,45,Female,Mumbai,4.5,10233,"Biryani, Roll, Noodles","""200,110,150""",1007,453,106,36,On Time,3,South Indian,Card
8,2982,5,05-05-2024,32,Female,Chennai,4.9,15604,"Burger, Pizza, Pasta, Paneer Tikka","""120,250,180,220""",1008,707,107,50,On Time,2,South Indian,Cash
9,1000,42,17-01-2024,59,Female,Ahmedabad,4.1,14243,Biryani,"""200""",1009,432,108,18,On Time,1,Continental,UPI
10,1000,32,21-06-2024,59,Female,Pune,4.6,14681,Sandwich,"""80""",1010,168,109,27,On Time,3,North Indian,UPI
11,1000,19,01-02-2024,59,Female,Mumbai,4.6,12776,"Paneer Tikka, Idli","""220,50""",1011,317,110,44,On Time,4,South Indian,UPI
12,1000,26,07-12-2024,59,Female,Chennai,4.2,17560,"Sandwich, Pasta","""80,180""",1012,243,111,31,On Time,1,South Indian,UPI
13,1000,50,30-07-2024,59,Female,Ahmedabad,2.6,11616,Pasta,"""180""",1013,294,112,68,Late,3,North Indian,UPI
14,1000,40,13-03-2024,59,Female,Bangalore,2.2,18694,"Pizza, Burger, Roll, Noodles","""250,120,110,150""",1014,1235,113,53,Late,2,Continental,UPI
15,1000,27,07-05-2024,59,Female,Kolkata,3.1,18192,"Dosa, Biryani, Pasta","""60,200,180""",1015,547,114,51,Late,1,Chinese,Card
16,1000,12,09-12-2024,59,Female,Bangalore,4.2,17950,"Idli, Biryani, Momos","""50,200,140""",1016,684,115,25,On Time,4,North Indian,Card
17,1000,1,28-09-2024,59,Female,Hyderabad,2.1,18594,Idli,"""50""",1017,76,116,10,Cancelled,1,Chinese,Cash
18,3662,31,13-09-2024,60,Male,Bangalore,3.3,13373,"Sandwich, Noodles, Fried Rice","""80,150,170""",1018,549,117,47,Late,1,North Indian,UPI
19,1000,42,24-08-2024,59,Female,Ahmedabad,1.9,15973,Biryani,"""200""",1019,336,118,5,Cancelled,1,Italian,UPI
20,1000,25,10-10-2024,59,Female,Chennai,1.3,11885,Momos,"""140""",1020,105,119,4,Cancelled,1,Fast Food,Card
21,1000,21,07-05-2024,59,Female,Ahmedabad,4.6,12995,"Fries, Idli, Roll, Paratha","""90,50,110,70""",1021,316,120,40,On Time,4,South Indian,UPI
22,1000,3,22-03-2024,59,Female,Pune,4.4,15112,"Burger, Pizza, Sandwich","""120,250,80""",1022,874,121,37,On Time,2,Italian,UPI
23,1000,36,22-10-2024,59,Female,Bangalore,4.8,10742,"Pasta, Paratha, Burger, Roll","""180,70,120,110""",1023,340,122,60,On Time,2,Fast Food,UPI
24,3328,50,30-08-2024,29,Female,Ahmedabad,4.0,15551,"Biryani, Fried Rice","""200,170""",1024,267,123,24,On Time,1,Fast Food,UPI
25,1000,3,23-12-2024,59,Female,Pune,4.5,17324,"Momos, Dosa, Paneer Tikka, Fried Rice","""140,60,220,170""",1025,758,124,32,On Time,2,Chinese,UPI
26,1000,26,24-04-2024,59,Female,Chennai,4.1,15498,"Noodles, Burger, Paneer Tikka, Paratha","""150,120,220,70""",1026,375,125,53,On Time,1,Fast Food,UPI
27,1000,34,07-02-2024,59,Female,Mumbai,2.5,10907,Sandwich,"""80""",1027,120,126,62,Late,1,Chinese,UPI
