OrderID,CustomerID,RestaurantID,OrderDate,Age,Gender,City,Rating,OrderItemID,ItemName,ItemPrice,PaymentID,Amount,DeliveryID,DeliveryTime,DeliveryStatus,ItemsPerOrder,Cuisine,PaymentMode
1,1000,6,16-06-2024,59,Female,Pune,3.9,11027,"Paneer Tikka, Dosa, Roll, Idli","""220,60,110,50""",1001,440,100,44,Late,4,Italian,Cash
2,1000,30,05-07-2024,59,Female,Bangalore,2.8,18359,"Idli, Dosa, Sandwich, Paneer Tikka","""50,60,80,220""",1002,410,101,16,On Time,4,South Indian,Cash
3,1000,16,03-12-2024,59,Female,Bangalore,3.6,13283,"Idli, Fried Rice, Biryani","""50,170,200""",1003,420,102,62,Cancelled,3,Fast Food,Card
4,2462,24,21-01-2024,29,Female,Ahmedabad,3,18492,"Biryani, Dosa, Pizza, Burger","""200,60,250,120""",1004,630,103,31,Cancelled,4,South Indian,Card
5,1000,29,08-10-2024,59,Female,Chennai,3.9,19415,"Sandwich, Idli, Pasta, Dosa","""80,50,180,60""",1005,370,104,29,Cancelled,4,Chinese,Cash
6,1000,49,30-10-2024,59,Female,Delhi,4.3,19075,Paratha,"""70""",1006,70,105,41,Cancelled,1,South Indian,Cash
7,3715,19,18-12-2024,45,Female,Mumbai,2.6,10233,"Biryani, Roll, Noodles","""200,110,150""",1007,460,106,60,On Time,3,South Indian,UPI
8,2982,5,05-05-2024,32,Female,Chennai,4.7,15604,"Burger, Pizza, Pasta, Paneer Tikka","""120,250,180,220""",1008,770,107,58,Cancelled,4,South Indian,Card
9,1000,42,17-01-2024,59,Female,Ahmedabad,4,14243,Biryani,"""200""",1009,200,108,65,Late,1,Continental,UPI
10,1000,32,21-06-2024,59,Female,Pune,4.9,14681,Sandwich,"""80""",1010,80,109,36,On Time,1,North Indian,UPI
11,1000,19,01-02-2024,59,Female,Mumbai,2.8,12776,"Paneer Tikka, Idli","""220,50""",1011,270,110,37,Cancelled,2,South Indian,Cash
12,1000,26,07-12-2024,59,Female,Chennai,2.6,17560,"Sandwich, Pasta","""80,180""",1012,260,111,57,Cancelled,2,South Indian,UPI
13,1000,50,30-07-2024,59,Female,Ahmedabad,3.4,11616,Pasta,"""180""",1013,180,112,17,On Time,1,North Indian,Cash
14,1000,40,13-03-2024,59,Female,Bangalore,4.7,18694,"Pizza, Burger, Roll, Noodles","""250,120,110,150""",1014,630,113,24,On Time,4,Continental,UPI
